,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
62,dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,204.46,2106152779,63,,432312273,209.19,192.3,7.78,3.95548,78857740.0,3.8898,10281875.1070402,18920000.0,,1493.59,-86.22699,2017-12-20T00:00:00.000Z,0.213899,96072.69971,2014-02-14T00:00:00.000Z,,2021-08-15T17:18:03.164Z
63,terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.0,2106131013,64,,39788850,1.01,0.995293,-0.002760637109,-0.27505,-2826155.6418926716,-0.13401,2101733625.80028,2101544514.77054,,1.09,-8.24778,2021-01-11T22:30:57.984Z,0.857992,16.76668,2021-05-19T13:14:26.898Z,,2021-08-15T17:18:08.074Z
64,havven,snx,Synthetix Network Token,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139,12.16,2068568494,65,2831465680.0,159050894,13.28,12.05,-0.352029250057,-2.81345,-58454233.65079689,-2.74817,169499808.45095563,232012085.500648,232012085.500648,28.53,-57.01886,2021-02-14T01:12:38.505Z,0.0347864,35153.72383,2019-01-06T00:00:00.000Z,"{'times': 23.32066545051494, 'currency': 'usd', 'percentage': 2332.066545051494}",2021-08-15T17:17:59.733Z
65,holotoken,hot,Holo,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966,0.01136618,2020385824,66,,208615670,0.01207795,0.01120948,-0.000445048519,-3.76801,-81188814.16771197,-3.86324,177619433541.141,177619433541.141,,0.03126682,-63.46221,2021-04-05T16:04:52.608Z,0.0002202,5088.13085,2020-03-13T02:23:01.612Z,"{'times': 15.044743360294405, 'currency': 'eth', 'percentage': 1504.4743360294403}",2021-08-15T17:17:52.448Z
66,quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,148.12,1926881557,67,2169949509.0,24830441,153.0,148.05,-4.146528782032,-2.72329,-51627518.125175,-2.60942,12975667.469289193,14612493.0,14612493.0,186.36,-19.96445,2021-08-02T00:49:26.991Z,0.215773,69024.30995,2018-08-23T00:00:00.000Z,"{'times': 19.383317351074417, 'currency': 'eth', 'percentage': 1938.3317351074415}",2021-08-15T17:17:54.798Z
67,chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,0.359574,1925609178,68,3202904039.0,267792805,0.373019,0.353803,-0.010432327069,-2.8195,-53641902.11061239,-2.71021,5344064580.0,8888888888.0,8888888888.0,0.878633,-58.82849,2021-03-13T08:04:21.200Z,0.00410887,8704.0314,2019-09-28T00:00:00.000Z,"{'times': 15.344292633146923, 'currency': 'usd', 'percentage': 1534.4292633146922}",2021-08-15T17:17:56.436Z
68,nem,xem,NEM,https://assets.coingecko.com/coins/images/242/large/NEM_Logo_256x256.png?1598687029,0.206867,1861516292,69,,119764543,0.216908,0.203329,0.00175506,0.85566,6880202.0,0.37097,8999999999.0,8999999999.0,,1.87,-88.88593,2018-01-07T00:00:00.000Z,8.482e-05,244746.57105,2015-09-05T00:00:00.000Z,,2021-08-15T17:17:51.822Z
69,huobi-btc,hbtc,Huobi BTC,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,46005.0,1835906997,70,1835906997.0,11547920,47515.0,45739.0,-908.40138916186,-1.93632,-37316241.089630604,-1.99209,39906.36705999,39906.36705999,39906.36705999,69325.0,-33.44451,2021-05-10T02:33:06.038Z,11209.02,311.6295,2020-10-12T03:56:16.768Z,,2021-08-15T17:12:43.805Z
70,theta-fuel,tfuel,Theta Fuel,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622,0.334326,1774728241,71,,60075834,0.348974,0.332635,-0.010038778087,-2.91516,-48942909.468001604,-2.68376,5301219200.0,5301200000.0,,0.68159,-50.55531,2021-06-09T06:50:55.818Z,0.00090804,37014.05369,2020-03-13T02:30:37.972Z,,2021-08-15T17:17:47.981Z
71,xdce-crowd-sale,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-logo.png?1589242157,0.136342,1671010561,72,,13179093,0.148689,0.130918,-0.004955340222,-3.50702,-88895225.41905737,-5.05114,12238141964.0,37599520715.0,,0.153464,-11.54199,2021-08-12T05:44:18.515Z,0.00039532,34239.71333,2019-07-22T00:00:00.000Z,"{'times': 4.793725484414291, 'currency': 'eth', 'percentage': 479.3725484414291}",2021-08-15T17:16:45.015Z
72,helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,17.41,1636465428,73,3884745770.0,33690608,18.51,16.28,0.990972,6.03723,93443773.0,6.0559,93939684.0888967,223000000.0,223000000.0,22.31,-21.45351,2021-05-28T17:33:24.441Z,0.113248,15373.02884,2020-04-18T00:19:10.902Z,,2021-08-15T17:17:46.124Z
73,zcash,zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,142.21,1635148437,74,2994530399.0,311374409,148.35,139.13,-1.535638562796,-1.06828,-13113994.671016693,-0.79563,11466945.5950506,21000000.0,21000000.0,3191.93,-95.51943,2016-10-29T00:00:00.000Z,19.75,624.00042,2020-03-13T02:20:55.002Z,,2021-08-15T17:18:00.454Z
74,enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,1.6,1501933217,75,1607495653.0,112310436,1.69,1.6,-0.068691714504,-4.10758,-63549231.75491238,-4.0594,934331121.3990188,1000000000.0,1000000000.0,3.94,-59.04217,2021-04-09T12:29:27.777Z,0.01865964,8554.41236,2017-11-12T00:00:00.000Z,,2021-08-15T17:17:34.061Z
75,blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,1.38,1460237382,76,,26666006,1.44,1.36,-0.026133552888,-1.85465,-22741721.216434717,-1.53352,1052561461.68777,1818000000.0,,2.92,-52.31262,2021-04-05T13:34:27.931Z,0.04559639,2952.6527,2020-03-13T02:29:26.415Z,"{'times': 10.52459823462055, 'currency': 'usd', 'percentage': 1052.459823462055}",2021-08-15T17:17:56.914Z
76,qtum,qtum,Qtum,https://assets.coingecko.com/coins/images/684/large/qtum.png?1547034438,13.31,1384938124,77,,518637747,14.29,13.02,-0.690768189127,-4.93244,-69343173.06377387,-4.76821,103650122.0,107822406.0,,100.22,-86.61373,2018-01-06T00:00:00.000Z,0.783142,1613.13103,2020-03-13T02:22:57.149Z,"{'times': 43.37944466544313, 'currency': 'usd', 'percentage': 4337.944466544313}",2021-08-15T17:17:50.214Z
77,near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,3.1,1352883510,78,3112973641.0,64276134,3.27,3.05,-0.140029435011,-4.31783,-52854045.13729358,-3.75988,434595234.675505,1000000000.0,1000000000.0,7.56,-58.58386,2021-03-13T17:49:31.011Z,0.526762,494.20487,2020-11-04T16:09:15.137Z,,2021-08-15T17:17:58.206Z
78,yearn-finance,yfi,yearn.finance,https://assets.coingecko.com/coins/images/11849/large/yfi-192x192.png?1598325330,37778.0,1351379076,79,1389246891.0,241672333,40034.0,37878.0,-2091.954985110671,-5.24698,-66975472.34002805,-4.72205,35666.565457642,36666.0,36666.0,90787.0,-58.07113,2021-05-12T00:29:37.713Z,31.65,120189.93209,2020-07-18T12:26:27.150Z,,2021-08-15T17:17:47.587Z
79,ravencoin,rvn,Ravencoin,https://assets.coingecko.com/coins/images/3412/large/ravencoin.png?1548386057,0.142125,1349457450,80,,113882467,0.15133,0.140645,-0.008677200014,-5.75404,-72632364.93485999,-5.10744,9434780000.0,21000000000.0,,0.285218,-49.67096,2021-02-20T11:19:07.791Z,0.00893232,1507.05679,2020-03-13T02:30:00.004Z,,2021-08-15T17:18:12.816Z
80,zilliqa,zil,Zilliqa,https://assets.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1547036894,0.107593,1334523206,81,,112848624,0.112165,0.106062,-0.004572435194,-4.07652,-49840897.65890241,-3.60027,12362880669.072,21000000000.0,,0.255376,-57.61096,2021-05-06T17:33:45.940Z,0.00239616,4417.70288,2020-03-13T02:22:55.161Z,"{'times': 3.0708093228022184, 'currency': 'eth', 'percentage': 307.0809322802218}",2021-08-15T17:18:06.041Z
81,true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,0.996354,1289527661,82,,72050353,1.0,0.993618,-0.003815602477,-0.3815,-2640596.7929525375,-0.20435,1292970001.83638,1292970001.83638,,1.62,-38.21391,2018-08-26T20:41:09.375Z,0.88355,13.18159,2020-03-12T10:47:51.380Z,,2021-08-15T17:17:57.261Z
82,flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/flow_logo.jpg?1608631239,22.48,1283044459,83,,85874614,23.44,22.28,-0.613541879801,-2.65635,-33258074.419215918,-2.52663,57064824.8232707,1368390492.48566,,42.4,-47.14343,2021-04-05T13:49:10.098Z,4.95,352.72084,2021-01-27T15:34:04.000Z,,2021-08-15T17:18:12.085Z
83,bitcoin-gold,btg,Bitcoin Gold,https://assets.coingecko.com/coins/images/1043/large/bitcoin-gold-logo.png?1547034978,69.11,1214674270,84,,225414096,72.6,62.59,5.9,9.34309,108913994.0,9.84969,17513924.0,21000000.0,,456.25,-84.75329,2017-12-20T00:00:00.000Z,4.25,1535.05497,2020-03-13T02:22:52.902Z,,2021-08-15T17:18:04.849Z
84,basic-attention-token,bat,Basic Attention Token,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427,0.774391,1153048763,85,1161476449.0,123038574,0.797738,0.754166,0.00150268,0.19442,-1137753.011339426,-0.09858,1489115982.4473505,1500000000.0,1500000000.0,1.63,-52.28895,2021-04-09T19:03:22.356Z,0.072394,975.14934,2017-07-16T00:00:00.000Z,"{'times': 0.5861574191563284, 'currency': 'eth', 'percentage': 58.61574191563283}",2021-08-15T17:17:43.029Z
85,safemoon,safemoon,SafeMoon,https://assets.coingecko.com/coins/images/14362/large/174x174-white.png?1617174846,1.91e-06,1116125579,86,,8805599,2.08e-06,1.87e-06,-1.07893e-07,-5.34639,-63578342.317681074,-5.38935,578595904299450.0,1000000000000000.0,,1.094e-05,-82.32989,2021-05-11T20:32:53.513Z,4.436e-08,4259.20133,2021-03-14T19:51:56.741Z,,2021-08-15T17:17:51.065Z
86,telcoin,tel,Telcoin,https://assets.coingecko.com/coins/images/1899/large/tel.png?1547036203,0.01934784,1103431663,87,,7961928,0.02007433,0.01918686,-0.000230834347,-1.17901,-11821425.65875101,-1.05998,56969406904.06,100000000000.0,,0.064483,-69.81952,2021-05-11T00:32:24.043Z,6.474e-05,29962.28306,2020-03-13T02:24:47.992Z,"{'times': 18.34784328955566, 'currency': 'usd', 'percentage': 1834.784328955566}",2021-08-15T17:17:18.076Z
87,nexo,nexo,NEXO,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057,1.94,1092576654,88,1951029704.0,6614165,2.01,1.92,-0.060139062406,-3.01369,-23147093.40884471,-2.07463,560000010.0064,1000000000.0,1000000000.0,4.07,-51.90726,2021-05-12T14:37:47.535Z,0.04515276,4232.84305,2018-09-13T00:00:00.000Z,"{'times': 18.35386896951053, 'currency': 'usd', 'percentage': 1835.386896951053}",2021-08-15T17:17:55.528Z
88,decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,0.809268,1077818196,89,1781606739.0,102765585,0.842923,0.805436,-0.01691401587,-2.04725,-19859916.187515497,-1.80927,1327372145.9864838,2194113227.32015,2194113227.32015,1.6,-48.9238,2021-05-07T15:54:15.763Z,0.00923681,8728.82909,2017-10-31T00:00:00.000Z,"{'times': 39.46341260806825, 'currency': 'usd', 'percentage': 3946.341260806825}",2021-08-15T17:18:08.386Z
89,bitclout,clout,BitClout,https://assets.coingecko.com/coins/images/16310/large/k-h6Wead_400x400.jpg?1623726134,100.56,1059198235,90,1086978770.0,464981,101.84,99.25,0.452849,0.45236,-836960.8373752832,-0.07896,10532253.8854,10808492.6854,10808492.6854,198.68,-49.40784,2021-06-19T20:53:25.052Z,77.51,29.68229,2021-08-09T23:13:42.318Z,,2021-08-15T17:15:45.193Z
90,bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC,https://assets.coingecko.com/coins/images/13120/large/Logo_final-21.png?1624892810,55.95,1055450620,91,,106080840,57.95,54.22,0.654942,1.18436,17665358.0,1.70222,18794058.3967894,21000000.0,,71.38,-21.44379,2021-08-06T08:52:10.407Z,9.21,508.85933,2020-11-15T18:28:32.658Z,,2021-08-15T17:17:10.113Z
91,harmony,one,Harmony,https://assets.coingecko.com/coins/images/4344/large/Y88JAze.png?1565065793,0.096961,1012288927,92,,37660764,0.099646,0.094991,-0.002183829584,-2.20266,-22808226.519104958,-2.20349,10436554889.7931,,,0.222092,-56.22559,2021-03-29T08:19:36.363Z,0.00127355,7533.73127,2020-03-13T02:24:14.005Z,"{'times': 29.53904688476994, 'currency': 'usd', 'percentage': 2953.904688476994}",2021-08-15T17:18:13.288Z
92,xsushi,xsushi,xSUSHI,https://assets.coingecko.com/coins/images/13725/large/xsushi.png?1612538526,13.69,982656802,93,,2149981,14.41,13.62,-0.480999443216,-3.39317,-37546864.794421434,-3.68033,71755588.0295897,71755588.0295897,,26.33,-47.61372,2021-03-13T23:01:02.266Z,6.04,128.32466,2021-01-22T01:04:22.350Z,,2021-08-15T17:15:50.810Z
93,digibyte,dgb,DigiByte,https://assets.coingecko.com/coins/images/63/large/digibyte.png?1547033717,0.066309,969493180,94,,30186369,0.069745,0.065836,-0.002412974499,-3.51123,-34520257.556816936,-3.43823,14581728232.9043,21000000000.0,,0.178084,-62.60975,2021-05-01T00:19:01.967Z,3.099e-05,214786.86687,2015-01-14T00:00:00.000Z,,2021-08-15T17:17:18.201Z
94,bancor,bnt,Bancor Network Token,https://assets.coingecko.com/coins/images/736/large/bancor-bnt.png?1628822309,4.08,949964350,95,949964350.0,51314157,4.27,4.09,-0.134335739838,-3.18739,-36606310.325454235,-3.71046,232348816.028932,232348816.028932,232348816.028932,10.72,-61.69903,2018-01-09T00:00:00.000Z,0.120935,3293.64801,2020-03-13T02:29:21.245Z,,2021-08-15T17:18:11.193Z
95,paxos-standard,pax,Paxos Standard,https://assets.coingecko.com/coins/images/6013/large/paxos_standard.png?1548386291,0.998208,941562618,96,,49736821,1.01,0.991608,-0.001287179341,-0.12878,3536174.0,0.37698,942491911.88,942491911.88,,1.13,-11.40377,2018-10-15T07:09:12.459Z,0.863529,15.69702,2021-05-19T13:14:42.046Z,"{'times': -0.0017916418794564, 'currency': 'usd', 'percentage': -0.17916418794564}",2021-08-15T17:17:51.296Z
96,ontology,ont,Ontology,https://assets.coingecko.com/coins/images/3447/large/ONT.png?1583481820,1.05,923666629,97,,145793790,1.09,1.03,-0.01841525309,-1.72714,-15098384.48776114,-1.60832,878027426.0,1000000000.0,,10.92,-90.31802,2018-05-03T01:43:05.844Z,0.23237,355.01223,2020-03-13T02:20:48.548Z,,2021-08-15T17:18:10.591Z
97,siacoin,sc,Siacoin,https://assets.coingecko.com/coins/images/289/large/siacoin.png?1548386465,0.01863286,906318831,98,,59741309,0.01950146,0.01830505,-0.000360599796,-1.89855,-20190775.478634477,-2.17923,48589515000.0,,,0.092868,-79.79513,2018-01-06T00:00:00.000Z,1.262e-05,148568.52554,2015-12-28T00:00:00.000Z,"{'times': 0.9352628967473052, 'currency': 'btc', 'percentage': 93.52628967473052}",2021-08-15T17:17:48.483Z
98,ethos,vgx,Voyager Token,https://assets.coingecko.com/coins/images/794/large/Voyager-vgx.png?1575693595,4.05,898830409,99,,3724645,4.25,4.0,-0.017856435969,-0.4386,-5356551.0123877525,-0.59242,222295208.238453,222295208.238453,,12.47,-67.49891,2018-01-06T00:00:00.000Z,0.01689847,23892.04485,2019-12-26T22:10:32.136Z,"{'times': 134.1139536790096, 'currency': 'usd', 'percentage': 13411.39536790096}",2021-08-15T17:14:08.897Z
99,kucoin-shares,kcs,KuCoin Token,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1610678720,11.35,888213133,100,,13807239,11.9,11.16,-0.390753887586,-3.32954,-25220317.276133895,-2.76105,78068031.0,168068031.0,,20.17,-43.32941,2018-01-10T00:00:00.000Z,0.342863,3233.39636,2019-02-07T00:00:00.000Z,,2021-08-15T17:15:36.125Z
